CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,DistrictID
11,110150048202200001,202200001,2022-09-28,299,48,1,2,4,9,1,16,2022-09-28 14:26:00,2022-09-28 16:26:00,2022-09-28 19:26:00,11.850859,78.310767,Similique alias nemo vel architecto vel quia.,1015
12,110070021202200001,202200001,2022-01-07,117,21,1,2,5,10,1,8,2022-01-07 19:13:00,2022-01-07 23:13:00,2022-01-07 23:13:00,16.363541,75.309647,Nobis iure quos consequatur sed quo illum laboriosam qui laborum optio saepe fugit eos totam.,1007
13,810070021202400001,202400001,2024-08-24,117,21,8,2,4,9,4,8,2024-08-22 07:18:00,2024-08-24 01:18:00,2024-08-24 04:18:00,16.38645,75.362177,Iste non ad aut deleniti laboriosam cumque maxime ex quod labore.,1007
14,110260076202400001,202400001,2024-02-23,267,76,1,2,4,9,1,27,2024-02-23 02:55:00,2024-02-23 14:55:00,2024-02-23 18:55:00,12.848548,76.087793,Tempora nobis cupiditate est aliquid suscipit officia nihil itaque error vero incidunt.,1026
15,144300003202200001,202200001,2022-09-18,65,3,1,2,1,2,2,1,2022-09-17 00:14:00,2022-09-18 23:14:00,2022-09-19 03:14:00,13.06044,77.493028,Ipsum eligendi saepe reiciendis magni voluptates dolorem adipisci corporis vel repellendus ipsam doloribus nemo veniam.,4430
16,110030011202400001,202400001,2024-02-16,154,11,1,1,4,9,3,4,2024-02-15 23:15:00,2024-02-16 07:15:00,2024-02-16 07:15:00,16.00301,78.328479,Ea amet quas veritatis incidunt enim repellat.,1003
17,110010006202400001,202400001,2024-05-08,145,6,1,1,1,1,1,2,2024-05-07 04:49:00,2024-05-08 19:49:00,2024-05-09 00:49:00,14.198188,75.487978,Molestias optio saepe aliquid quae id aliquid corporis eaque quaerat necessitatibus modi error sequi.,1001
18,110100028202200001,202200001,2022-04-10,330,28,1,2,1,2,3,11,2022-04-10 03:47:00,2022-04-10 07:47:00,2022-04-10 08:47:00,13.451649,76.672342,Hic corrupti dolores nisi nisi corporis fugit officiis iusto nobis doloremque temporibus fugit maxime nostrum fugit.,1010
19,110180053202300001,202300001,2023-08-16,163,53,1,1,6,13,3,19,2023-08-14 12:52:00,2023-08-16 07:52:00,2023-08-16 11:52:00,13.851385,76.962812,Est quas natus quibusdam officia blanditiis optio consequatur officia delectus soluta molestiae sed quod nam perferendis.,1018
20,110200057202300001,202300001,2023-09-08,124,57,1,2,5,10,4,21,2023-09-06 15:03:00,2023-09-08 08:03:00,2023-09-08 13:03:00,17.079441,76.421822,Commodi consequatur at totam dolor mollitia dolorum voluptatem fuga quas alias consequuntur assumenda atque.,1020
21,110020007202400001,202400001,2024-10-12,214,7,1,2,6,13,2,3,2024-10-11 05:22:00,2024-10-12 01:22:00,2024-10-12 04:22:00,16.210127,76.623361,Ratione suscipit optio architecto at dolorum asperiores illo.,1002
22,110230068202500001,202500001,2025-01-06,293,68,1,2,2,5,4,24,2025-01-05 03:15:00,2025-01-06 15:15:00,2025-01-06 18:15:00,16.435195,76.944586,Repudiandae cupiditate in cumque sed mollitia suscipit.,1023
23,810030010202500001,202500001,2025-02-15,58,10,8,2,4,8,1,4,2025-02-14 11:08:00,2025-02-15 16:08:00,2025-02-15 22:08:00,16.013845,78.337915,Neque omnis perspiciatis nihil corrupti maxime ullam dolorum beatae quisquam molestiae illo.,1003
24,110200057202500001,202500001,2025-01-01,223,57,1,2,2,3,2,21,2025-01-01 18:53:00,2025-01-01 23:53:00,2025-01-02 00:53:00,16.960632,76.565101,Sunt dicta ex perferendis quam corrupti voluptatum saepe voluptate tempore facilis at fuga exercitationem velit.,1020
25,110020007202500001,202500001,2025-04-18,56,7,1,2,5,11,1,3,2025-04-18 22:42:00,2025-04-18 23:42:00,2025-04-19 00:42:00,16.144312,76.694686,Iure libero dolor quis deleniti esse architecto non dicta nisi ipsa quo.,1002
26,410210059202600001,202600001,2026-02-27,25,59,4,2,4,8,3,22,2026-02-26 01:47:00,2026-02-27 03:47:00,2026-02-27 04:47:00,17.554671,76.542692,In neque eligendi voluptatem illum at quas aliquid dicta maxime laboriosam suscipit sint.,1021
27,110020008202600001,202600001,2026-05-08,330,8,1,2,4,9,1,3,2026-05-07 01:24:00,2026-05-08 09:24:00,2026-05-08 12:24:00,16.202373,76.626025,Earum maiores incidunt ipsum recusandae ipsa sequi quaerat sunt molestiae illum.,1002
28,110220065202600001,202600001,2026-01-19,311,65,1,2,3,7,2,23,2026-01-18 02:48:00,2026-01-19 15:48:00,2026-01-19 21:48:00,13.245291,76.487816,Expedita molestias expedita nulla officiis explicabo optio velit dolorem adipisci cum inventore illum distinctio recusandae.,1022
29,110210062202200001,202200001,2022-10-26,224,62,1,2,5,10,2,22,2022-10-25 14:16:00,2022-10-26 00:16:00,2022-10-26 01:16:00,17.43925,76.452301,Sit laudantium soluta excepturi voluptatem nostrum quam autem ut architecto.,1021
30,110170052202400001,202400001,2024-02-17,342,52,1,2,2,4,3,18,2024-02-15 19:53:00,2024-02-17 18:53:00,2024-02-17 23:53:00,17.860723,75.286609,Eos nam quos eos tempore ratione id ad modi suscipit quod corrupti.,1017
31,110230068202400001,202400001,2024-08-01,293,68,1,1,3,6,3,24,2024-07-30 11:46:00,2024-08-01 05:46:00,2024-08-01 05:46:00,16.440084,76.966043,Maiores delectus atque ullam laudantium animi laborum quo tempora.,1023
32,110170052202200001,202200001,2022-06-02,92,52,1,1,1,1,1,18,2022-06-02 07:03:00,2022-06-02 21:03:00,2022-06-03 01:03:00,17.847477,75.334244,Assumenda animi sunt ullam adipisci praesentium adipisci quasi quo iure voluptatem voluptatum earum.,1017
33,110120037202200001,202200001,2022-05-04,155,37,1,2,6,12,2,13,2022-05-04 17:40:00,2022-05-04 19:40:00,2022-05-04 19:40:00,13.83102,77.263581,Sequi dolor tenetur voluptates nam doloribus autem inventore repudiandae quo veniam possimus quae.,1012
34,110050016202400001,202400001,2024-04-22,249,16,1,2,5,11,1,6,2024-04-20 15:01:00,2024-04-22 00:01:00,2024-04-22 06:01:00,15.897466,75.84387,Voluptates quidem aliquam placeat aliquam alias hic consequuntur ipsam sequi ullam.,1005
35,144300003202400001,202400001,2024-05-31,65,3,1,1,1,1,2,1,2024-05-30 06:06:00,2024-05-31 05:06:00,2024-05-31 07:06:00,12.986136,77.589361,Exercitationem consectetur minus minima recusandae enim occaecati ducimus saepe.,4430
36,110250073202200001,202200001,2022-06-11,352,73,1,2,4,8,3,26,2022-06-11 05:25:00,2022-06-11 11:25:00,2022-06-11 16:25:00,13.299354,78.440946,Dicta accusantium iusto veritatis quia qui labore sint perspiciatis accusantium.,1025
37,810220063202500001,202500001,2025-08-23,10,63,8,1,4,8,1,23,2025-08-22 14:05:00,2025-08-23 01:05:00,2025-08-23 01:05:00,13.167688,76.457874,Eius quaerat odio quasi rem reprehenderit distinctio officiis eum aspernatur iure quis.,1022
38,110240070202400001,202400001,2024-06-07,151,70,1,2,3,7,4,25,2024-06-07 05:50:00,2024-06-07 20:50:00,2024-06-07 21:50:00,13.27835,74.182451,Dolorum ab possimus ipsam distinctio non voluptates aut dolorum tempora labore.,1024
39,410270082202500001,202500001,2025-11-18,113,82,4,2,3,6,1,28,2025-11-17 07:30:00,2025-11-18 18:30:00,2025-11-18 22:30:00,15.96806,77.926402,Nostrum tempora ducimus possimus pariatur alias necessitatibus iste.,1027
40,110230068202300001,202300001,2023-01-03,64,68,1,2,2,5,1,24,2023-01-01 21:01:00,2023-01-03 10:01:00,2023-01-03 11:01:00,16.431798,76.977026,Inventore voluptatum vitae minima quam eligendi in libero veniam.,1023
41,110150048202400001,202400001,2024-03-07,318,48,1,2,5,11,2,16,2024-03-07 15:57:00,2024-03-07 21:57:00,2024-03-08 01:57:00,11.818344,78.291575,Quos temporibus est maxime beatae culpa pariatur quos quaerat inventore accusamus minus corrupti.,1015
42,110100031202300001,202300001,2023-12-10,188,31,1,2,4,9,3,11,2023-12-08 10:06:00,2023-12-10 01:06:00,2023-12-10 04:06:00,13.458079,76.66772,Delectus distinctio iste in ex ipsam eum deserunt dicta placeat.,1010
43,810110033202300001,202300001,2023-10-31,289,33,8,2,3,6,1,12,2023-10-29 12:40:00,2023-10-31 00:40:00,2023-10-31 03:40:00,11.864458,75.1063,Impedit magnam dolor neque laborum fuga incidunt voluptas ipsum quia quae ab.,1011
44,144300001202500001,202500001,2025-10-24,296,1,1,2,4,8,3,1,2025-10-24 12:42:00,2025-10-24 18:42:00,2025-10-24 20:42:00,13.009205,77.588935,Vero vero molestias alias magnam impedit ipsa.,4430
45,110300091202500001,202500001,2025-12-28,93,91,1,1,6,13,1,31,2025-12-28 00:09:00,2025-12-28 20:09:00,2025-12-28 23:09:00,13.400535,75.9799,Ea ipsam commodi dolores provident voluptates omnis natus earum temporibus.,1030
46,110260078202300001,202300001,2023-07-07,229,78,1,2,1,2,2,27,2023-07-06 20:08:00,2023-07-07 03:08:00,2023-07-07 03:08:00,12.863987,76.092098,Animi reprehenderit numquam maxime asperiores beatae ea architecto.,1026
47,110220066202500001,202500001,2025-02-09,112,66,1,2,5,11,1,23,2025-02-07 23:38:00,2025-02-09 02:38:00,2025-02-09 05:38:00,13.021918,76.413888,Aliquid aliquid ipsa quasi reiciendis aliquam quam ratione velit.,1022
48,110250074202600001,202600001,2026-01-24,248,74,1,2,2,4,1,26,2026-01-23 23:57:00,2026-01-24 17:57:00,2026-01-24 19:57:00,13.3119,78.424139,Blanditiis non error unde necessitatibus nihil similique qui.,1025
49,110080023202200001,202200001,2022-10-26,15,23,1,2,4,9,1,9,2022-10-25 09:10:00,2022-10-26 02:10:00,2022-10-26 03:10:00,12.562376,74.594415,Itaque ab quidem eum laboriosam ad sapiente ad distinctio repellendus fuga magni.,1008
50,110140043202400001,202400001,2024-10-12,334,43,1,2,2,4,4,15,2024-10-11 21:39:00,2024-10-12 19:39:00,2024-10-13 01:39:00,13.914432,75.366736,Aperiam praesentium laudantium aliquam laudantium libero qui sit.,1014
51,144300002202300002,202300002,2023-11-06,339,2,1,2,4,9,4,1,2023-11-06 05:21:00,2023-11-06 14:21:00,2023-11-06 16:21:00,12.915996,77.53802,Laboriosam voluptatum temporibus dolores quia voluptatem repudiandae dolor ut.,4430
52,110100030202500001,202500001,2025-11-24,139,30,1,2,3,6,1,11,2025-11-22 09:30:00,2025-11-24 06:30:00,2025-11-24 11:30:00,13.469297,76.651322,Commodi nam necessitatibus porro ducimus consectetur natus reiciendis aliquam aut tempora quae.,1010
53,110090027202500001,202500001,2025-03-25,244,27,1,2,4,9,4,10,2025-03-24 18:20:00,2025-03-25 07:20:00,2025-03-25 11:20:00,15.915294,75.495383,Corrupti repellat temporibus nulla enim eius in placeat veritatis minima error consequuntur architecto.,1009
54,810180054202300001,202300001,2023-01-04,243,54,8,2,5,11,1,19,2023-01-04 02:49:00,2023-01-04 21:49:00,2023-01-05 03:49:00,13.881873,76.967248,Optio ipsum natus quo autem sint autem sint commodi magnam sit.,1018
55,110180054202400001,202400001,2024-04-17,80,54,1,2,2,3,1,19,2024-04-16 17:31:00,2024-04-17 21:31:00,2024-04-18 03:31:00,13.87095,76.973714,Dolor sunt incidunt odio ea tempore porro vel incidunt tenetur.,1018
56,110220064202400001,202400001,2024-07-08,233,64,1,2,5,10,3,23,2024-07-07 19:30:00,2024-07-08 19:30:00,2024-07-09 00:30:00,13.175498,76.459576,Repellat tempora facere rem debitis magni illum laboriosam praesentium enim possimus in minus consequuntur necessitatibus.,1022
57,344300002202500001,202500001,2025-01-04,339,2,3,2,1,2,1,1,2025-01-03 01:40:00,2025-01-04 19:40:00,2025-01-04 23:40:00,12.98735,77.565864,Eius rerum dicta consequuntur soluta voluptate necessitatibus beatae voluptatibus.,4430
58,110260078202500001,202500001,2025-08-14,315,78,1,2,4,9,3,27,2025-08-14 14:41:00,2025-08-14 21:41:00,2025-08-14 21:41:00,12.877947,76.156906,Nostrum accusantium vel corporis cupiditate nam nesciunt quis ullam praesentium quod.,1026
59,110190056202300002,202300002,2023-03-31,105,56,1,2,5,11,1,20,2023-03-29 20:47:00,2023-03-31 16:47:00,2023-03-31 20:47:00,16.916589,77.174744,Optio facere natus sequi molestiae voluptatem quaerat.,1019
60,110020008202200001,202200001,2022-11-05,349,8,1,2,4,8,1,3,2022-11-03 12:01:00,2022-11-05 11:01:00,2022-11-05 12:01:00,16.181631,76.628035,Quam ipsum modi quae numquam consequatur blanditiis iure in velit tempora ipsa cumque praesentium enim.,1002
61,110250073202300001,202300001,2023-12-04,190,73,1,2,2,4,2,26,2023-12-02 17:50:00,2023-12-04 14:50:00,2023-12-04 17:50:00,13.3534,78.400431,Et aspernatur placeat soluta ipsum veritatis blanditiis dicta animi perspiciatis magni itaque itaque.,1025
62,110240069202300001,202300001,2023-09-07,156,69,1,2,6,12,2,25,2023-09-06 14:51:00,2023-09-07 01:51:00,2023-09-07 06:51:00,13.263099,74.160672,Ut officia eum exercitationem blanditiis saepe cum atque culpa quaerat amet atque ab.,1024
63,110180053202200001,202200001,2022-12-24,329,53,1,1,3,6,2,19,2022-12-24 05:10:00,2022-12-24 17:10:00,2022-12-24 18:10:00,13.890204,76.945815,Consequatur ullam sunt velit asperiores aliquam culpa iste aperiam enim ipsa nostrum hic ut doloremque.,1018
64,110230068202400002,202400002,2024-06-04,291,68,1,2,6,13,2,24,2024-06-04 11:01:00,2024-06-04 12:01:00,2024-06-04 17:01:00,16.430177,76.924259,Minima aliquid repudiandae iste dolor quia beatae adipisci quas officia est iste illum placeat ullam.,1023
65,110050016202300001,202300001,2023-07-25,283,16,1,2,1,2,1,6,2023-07-25 14:51:00,2023-07-25 22:51:00,2023-07-26 00:51:00,15.736055,75.820507,Consectetur est ratione laudantium nihil blanditiis ducimus laudantium unde reiciendis est aut cum officiis blanditiis.,1005
66,110020008202400001,202400001,2024-09-29,290,8,1,2,3,6,1,3,2024-09-28 10:40:00,2024-09-29 16:40:00,2024-09-29 20:40:00,16.18988,76.659783,Quaerat natus sit aliquam culpa tenetur officiis dignissimos quia veniam.,1002
67,110030009202500001,202500001,2025-10-11,253,9,1,2,3,6,2,4,2025-10-11 01:51:00,2025-10-11 22:51:00,2025-10-11 22:51:00,16.140616,78.238578,Quidem sequi deleniti quos velit accusantium neque minus laboriosam.,1003
68,110180053202200002,202200002,2022-08-28,329,53,1,2,6,13,1,19,2022-08-27 04:23:00,2022-08-28 05:23:00,2022-08-28 08:23:00,13.873929,76.972864,A a voluptates voluptates accusantium animi odio deleniti libero omnis.,1018
69,110300093202500001,202500001,2025-07-25,256,93,1,1,6,12,1,31,2025-07-24 22:44:00,2025-07-25 17:44:00,2025-07-25 18:44:00,13.432588,75.816132,Quisquam odit possimus temporibus distinctio similique quas quaerat at.,1030
70,110210061202400001,202400001,2024-07-12,228,61,1,2,3,6,1,22,2024-07-11 18:03:00,2024-07-12 19:03:00,2024-07-12 23:03:00,17.469476,76.339698,Provident nobis saepe necessitatibus molestias nam dolore quod explicabo quo debitis eligendi quisquam expedita quam quos.,1021
71,144300001202400001,202400001,2024-10-10,365,1,1,2,4,9,1,1,2024-10-10 11:43:00,2024-10-10 13:43:00,2024-10-10 19:43:00,13.012698,77.59367,Consequatur quod minus unde deserunt hic sit suscipit unde officiis quibusdam exercitationem.,4430
72,110060018202300001,202300001,2023-08-22,207,18,1,2,2,3,2,7,2023-08-20 17:17:00,2023-08-22 01:17:00,2023-08-22 05:17:00,17.315432,75.743299,Ipsum vitae quaerat voluptas magnam reprehenderit voluptatem voluptatem sit ullam cupiditate unde itaque.,1006
73,144300001202500002,202500002,2025-03-18,46,1,1,2,5,10,3,1,2025-03-18 00:17:00,2025-03-18 03:17:00,2025-03-18 09:17:00,13.176824,77.708226,Vitae laborum quidem velit quasi laudantium debitis est pariatur provident rerum sed totam.,4430
74,110260077202500001,202500001,2025-01-23,13,77,1,2,1,2,1,27,2025-01-23 03:27:00,2025-01-23 06:27:00,2025-01-23 09:27:00,12.892527,76.162287,Ipsum corporis nobis debitis sed expedita animi perspiciatis itaque.,1026
75,144300003202200002,202200002,2022-06-28,65,3,1,1,1,2,3,1,2022-06-27 00:55:00,2022-06-28 14:55:00,2022-06-28 19:55:00,12.833236,77.621561,Repudiandae corrupti voluptate aperiam ea aperiam doloribus ipsam ipsa.,4430
76,110050017202500001,202500001,2025-12-26,32,17,1,2,4,9,3,6,2025-12-26 15:40:00,2025-12-26 19:40:00,2025-12-26 23:40:00,15.762941,75.785461,Perspiciatis at ratione iste doloremque quia ipsam voluptate rerum nisi consequatur.,1005
77,110100029202300001,202300001,2023-07-30,375,29,1,2,2,4,1,11,2023-07-29 10:34:00,2023-07-30 19:34:00,2023-07-31 00:34:00,13.463439,76.672717,Veritatis quos sed iste deleniti nemo corporis perferendis itaque.,1010
78,110210062202200002,202200002,2022-10-05,356,62,1,2,1,1,1,22,2022-10-05 04:58:00,2022-10-05 13:58:00,2022-10-05 14:58:00,17.474481,76.525647,Nemo dignissimos est similique quod eaque saepe deserunt sapiente non nihil.,1021
79,110110033202300001,202300001,2023-10-22,289,33,1,2,6,12,1,12,2023-10-21 04:48:00,2023-10-22 07:48:00,2023-10-22 10:48:00,11.76332,75.117057,Voluptas iure ipsa alias deserunt a nisi explicabo tempora nemo doloribus veniam qui.,1011
80,110210062202500001,202500001,2025-07-21,224,62,1,2,5,10,3,22,2025-07-19 20:25:00,2025-07-21 02:25:00,2025-07-21 05:25:00,17.446851,76.492097,Non porro ipsa veritatis corporis exercitationem amet ducimus ducimus perferendis corporis similique vel dolores.,1021
81,110140045202200001,202200001,2022-01-06,189,45,1,2,6,13,2,15,2022-01-06 18:05:00,2022-01-06 23:05:00,2022-01-07 05:05:00,13.765165,75.381144,Suscipit quia aliquid in illum est id odio saepe ab culpa odit exercitationem inventore explicabo.,1014
82,110010006202300001,202300001,2023-03-23,232,6,1,2,2,3,1,2,2023-03-22 00:52:00,2023-03-23 13:52:00,2023-03-23 14:52:00,14.179962,75.450932,Enim aut voluptatem illo soluta non adipisci eveniet minus reprehenderit qui voluptatum.,1001
83,110040013202400001,202400001,2024-09-20,309,13,1,1,6,13,2,5,2024-09-19 04:57:00,2024-09-20 10:57:00,2024-09-20 10:57:00,16.336667,76.889827,Quod provident porro iure tempore consequuntur nesciunt dignissimos cupiditate et aperiam neque beatae eveniet ipsam maxime.,1004
84,110290089202200001,202200001,2022-11-20,149,89,1,2,1,2,4,30,2022-11-20 05:29:00,2022-11-20 14:29:00,2022-11-20 19:29:00,15.75473,77.926322,Quam laudantium ab culpa molestiae accusantium repellat eos veritatis ea iusto quos quisquam officiis.,1029
85,110220063202300001,202300001,2023-07-16,10,63,1,2,3,7,2,23,2023-07-15 22:41:00,2023-07-16 02:41:00,2023-07-16 05:41:00,13.180424,76.464918,Non necessitatibus necessitatibus animi animi voluptas magnam in occaecati laborum omnis quis.,1022
86,110030012202600001,202600001,2026-01-26,278,12,1,2,2,4,1,4,2026-01-25 15:48:00,2026-01-26 22:48:00,2026-01-26 22:48:00,16.006779,78.341294,Dolorum eum at doloremque debitis nulla ducimus.,1003
87,110290088202300001,202300001,2023-04-09,37,88,1,2,4,9,4,30,2023-04-08 12:43:00,2023-04-09 16:43:00,2023-04-09 21:43:00,15.729828,77.88287,Maxime animi culpa sint eaque voluptates eligendi necessitatibus ex provident possimus aut eveniet.,1029
88,110270081202200001,202200001,2022-05-26,75,81,1,1,1,2,1,28,2022-05-25 11:24:00,2022-05-26 07:24:00,2022-05-26 08:24:00,15.963064,77.891149,Vero molestias sequi maxime sapiente tempora velit repudiandae error quae ad minima possimus quod.,1027
89,110090026202600001,202600001,2026-03-23,108,26,1,2,6,13,1,10,2026-03-22 05:41:00,2026-03-23 04:41:00,2026-03-23 09:41:00,15.900616,75.471872,Blanditiis repellendus eveniet unde porro aspernatur odio quibusdam dolorum cum quia inventore consectetur quisquam voluptates.,1009
90,110090027202600001,202600001,2026-03-13,244,27,1,2,4,9,1,10,2026-03-12 21:58:00,2026-03-13 04:58:00,2026-03-13 05:58:00,15.898954,75.492553,Quibusdam iusto quo iste illo quas provident veniam voluptas debitis suscipit ea ea quis.,1009
91,110240070202500001,202500001,2025-04-22,266,70,1,2,3,7,1,25,2025-04-22 05:24:00,2025-04-22 23:24:00,2025-04-23 04:24:00,13.196362,74.159039,Voluptates hic expedita saepe beatae optio vel maiores voluptatum doloremque.,1024
92,110010005202500001,202500001,2025-02-07,216,5,1,2,6,13,2,2,2025-02-06 23:38:00,2025-02-07 19:38:00,2025-02-07 20:38:00,14.173208,75.48326,Consequuntur harum ea architecto numquam quam neque voluptas sapiente veritatis quo nisi harum architecto fugiat.,1001
93,110150048202400002,202400002,2024-11-09,217,48,1,2,4,8,3,16,2024-11-08 14:47:00,2024-11-09 06:47:00,2024-11-09 09:47:00,11.791924,78.264175,Cum iusto aliquam perspiciatis soluta deserunt temporibus eaque incidunt laboriosam harum.,1015
94,110050016202300002,202300002,2023-05-09,212,16,1,2,5,11,4,6,2023-05-09 06:40:00,2023-05-09 15:40:00,2023-05-09 18:40:00,15.766912,75.794279,Aut at quae itaque consectetur pariatur delectus corporis iure dignissimos inventore quis error cupiditate.,1005
95,310060018202500001,202500001,2025-03-10,324,18,3,2,5,10,3,7,2025-03-10 11:23:00,2025-03-10 13:23:00,2025-03-10 17:23:00,17.287729,75.726255,Voluptas voluptatibus ratione consequuntur enim porro aliquid vero eveniet quia.,1006
96,110260078202300002,202300002,2023-06-21,229,78,1,2,1,1,1,27,2023-06-19 08:02:00,2023-06-21 06:02:00,2023-06-21 10:02:00,12.893331,75.996768,Perferendis commodi voluptatum fugit eligendi veniam pariatur in harum recusandae numquam.,1026
97,110150048202400003,202400003,2024-05-17,217,48,1,2,1,2,1,16,2024-05-16 13:25:00,2024-05-17 22:25:00,2024-05-17 23:25:00,11.802774,78.263704,Dolorum fuga laboriosam natus deserunt optio quia non eaque quia fugit.,1015
98,810140044202200001,202200001,2022-11-15,153,44,8,2,4,9,2,15,2022-11-15 01:20:00,2022-11-15 17:20:00,2022-11-15 17:20:00,13.889288,75.349643,Recusandae quia a at aperiam harum repellendus animi harum accusantium voluptatem in.,1014
99,110270081202400001,202400001,2024-06-08,75,81,1,2,5,10,2,28,2024-06-07 15:29:00,2024-06-08 03:29:00,2024-06-08 03:29:00,15.923544,77.925971,Excepturi cupiditate ab blanditiis repudiandae tempore maiores eligendi magnam ratione quam excepturi alias sed quam possimus.,1027
100,110250074202200001,202200001,2022-10-09,381,74,1,2,2,3,3,26,2022-10-07 23:00:00,2022-10-09 22:00:00,2022-10-10 00:00:00,13.359327,78.384791,Esse excepturi perspiciatis iusto alias tenetur illo perspiciatis saepe veritatis quam qui.,1025
101,110100029202200001,202200001,2022-09-17,375,29,1,1,3,6,3,11,2022-09-17 01:49:00,2022-09-17 23:49:00,2022-09-18 05:49:00,13.696824,76.62663,Odit pariatur odio possimus libero perferendis quos pariatur reprehenderit perspiciatis asperiores repudiandae dignissimos qui alias.,1010
102,110100030202400001,202400001,2024-12-08,303,30,1,2,6,13,2,11,2024-12-06 17:16:00,2024-12-08 02:16:00,2024-12-08 04:16:00,13.546873,76.591188,Accusantium explicabo ex sunt doloremque dignissimos velit maiores eaque ipsum tempore.,1010
103,110210059202500001,202500001,2025-03-06,269,59,1,2,2,4,2,22,2025-03-05 21:23:00,2025-03-06 05:23:00,2025-03-06 06:23:00,17.476834,76.508616,Officiis fugiat hic numquam autem animi id cum nulla consectetur adipisci magnam.,1021
104,110080025202200001,202200001,2022-01-06,126,25,1,2,1,2,4,9,2022-01-05 13:54:00,2022-01-06 01:54:00,2022-01-06 07:54:00,12.570756,74.590258,Similique dolore consequatur et blanditiis corporis sunt voluptas ex ad ducimus facere laudantium id.,1008
105,110110034202600001,202600001,2026-01-02,374,34,1,2,4,8,3,12,2026-01-02 05:41:00,2026-01-02 23:41:00,2026-01-03 05:41:00,11.766757,75.128353,Libero excepturi assumenda nemo sequi maiores officia libero nisi aspernatur ut minus officiis quisquam.,1011
106,110220064202400002,202400002,2024-02-03,376,64,1,1,6,12,3,23,2024-02-03 00:32:00,2024-02-03 03:32:00,2024-02-03 06:32:00,13.202071,76.449505,Veniam quas perspiciatis similique velit deserunt nisi distinctio.,1022
107,110010005202400001,202400001,2024-08-10,216,5,1,1,3,6,1,2,2024-08-08 20:49:00,2024-08-10 09:49:00,2024-08-10 15:49:00,14.185713,75.471813,Omnis tempora dolores molestias possimus at harum minus voluptate sapiente eligendi ipsum odit corrupti quam vitae.,1001
