district,year_month,incident_count,heinous_ratio,night_incident_ratio,undetected_ratio,month_num,next_month_incidents,predicted_next_month_risk,risk_score_0_100
Bagalkot,2024-04,2,0.0,0.5,0.0,4,4.0,3.253574212188504,4.9
Bagalkot,2024-05,4,0.75,0.75,0.0,5,7.0,4.075413702925086,11.8
Bagalkot,2024-06,7,0.14285714285714285,0.42857142857142855,0.14285714285714285,6,3.0,4.1998055002778445,12.9
Bagalkot,2024-07,3,0.0,1.0,0.0,7,1.0,3.5120725335641527,7.1
Bagalkot,2024-08,1,0.0,1.0,0.0,8,1.0,3.604734374264362,7.9
Bagalkot,2024-09,1,0.0,1.0,0.0,9,5.0,3.4700672919735296,6.7
Bagalkot,2024-10,5,0.2,0.2,0.0,10,2.0,3.684167855148944,8.5
Bagalkot,2024-11,2,0.0,0.0,0.0,11,2.0,3.9682527987066454,10.9
Bagalkot,2024-12,2,0.0,1.0,0.0,12,4.0,4.153192028398201,12.5
Bagalkot,2025-01,4,0.0,0.75,0.25,1,2.0,3.132353970250028,3.9
Bagalkot,2025-02,2,0.0,0.0,0.0,2,3.0,3.272400965188205,5.1
Bagalkot,2025-03,3,0.0,0.6666666666666666,0.0,3,2.0,3.264165927627787,5.0
Bagalkot,2025-04,2,0.0,0.0,0.0,4,5.0,3.3002412794042653,5.3
Bagalkot,2025-05,5,0.2,0.2,0.0,5,2.0,3.355784502921561,5.8
Bagalkot,2025-06,2,0.0,0.0,0.0,6,2.0,3.5631034735529137,7.5
Bagalkot,2025-07,2,0.0,0.0,0.0,7,7.0,3.6315157826283775,8.1
Bagalkot,2025-08,7,0.42857142857142855,0.5714285714285714,0.42857142857142855,8,5.0,5.116492807145955,20.6
Bagalkot,2025-09,5,0.0,0.2,0.0,9,3.0,3.5365209131170854,7.3
Bagalkot,2025-10,3,0.0,0.3333333333333333,0.0,10,6.0,3.8285258034465057,9.8
Bagalkot,2025-11,6,0.16666666666666666,0.3333333333333333,0.0,11,2.0,3.7684036203676574,9.3
Bagalkot,2025-12,2,0.0,0.0,0.0,12,4.0,3.989039946171634,11.1
Bagalkot,2026-01,4,0.0,0.75,0.0,1,2.0,3.164187822629516,4.1
Bagalkot,2026-02,2,0.5,0.5,0.0,2,4.0,3.4435599720703958,6.5
Bagalkot,2026-03,4,0.25,0.0,0.0,3,3.0,3.2272502042685454,4.7
Bagalkot,2026-04,3,0.0,0.3333333333333333,0.0,4,3.0,3.312815753841475,5.4
Bagalkot,2026-05,3,0.0,0.6666666666666666,0.0,5,,3.2829151982794262,5.1
Ballari,2022-01,4,0.25,0.25,0.0,1,1.0,3.1787495134973436,4.3
Ballari,2022-02,1,0.0,0.0,0.0,2,4.0,3.301774262111772,5.3
Ballari,2022-04,4,0.0,0.5,0.25,4,2.0,3.2771095326439177,5.1
Ballari,2022-05,2,0.0,0.5,0.0,5,1.0,3.2848051185630793,5.2
Ballari,2022-06,1,0.0,1.0,0.0,6,2.0,3.5730924044956014,7.6
Ballari,2022-07,2,0.0,0.5,0.0,7,5.0,3.6374047726768124,8.1
Ballari,2022-09,5,0.2,0.0,0.2,9,2.0,3.5692319790115774,7.6
Ballari,2022-10,2,0.5,1.0,0.0,10,4.0,4.1560134612181825,12.5
Ballari,2022-11,4,0.25,0.25,0.0,11,3.0,3.6941273332534066,8.6
Ballari,2022-12,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,12,3.0,3.4979821386497174,7.0
Ballari,2023-01,3,0.3333333333333333,0.0,0.0,1,4.0,3.4896215331950327,6.9
Ballari,2023-02,4,0.0,0.5,0.0,2,2.0,3.2062939942537296,4.5
Ballari,2023-03,2,0.5,0.0,0.5,3,2.0,3.01066553043331,2.8
Ballari,2023-04,2,0.0,0.5,0.5,4,6.0,3.2038932416162735,4.5
Ballari,2023-05,6,0.5,0.0,0.16666666666666666,5,3.0,3.6544636129837715,8.3
Ballari,2023-06,3,0.3333333333333333,0.0,0.3333333333333333,6,4.0,3.510714314398919,7.1
Ballari,2023-07,4,0.25,0.5,0.0,7,4.0,3.5012376202795874,7.0
Ballari,2023-08,4,0.25,0.5,0.0,8,9.0,3.501303058103911,7.0
Ballari,2023-09,9,0.1111111111111111,0.2222222222222222,0.2222222222222222,9,2.0,4.245313188014923,13.3
Ballari,2023-10,2,0.5,0.5,0.0,10,5.0,3.947890415701957,10.8
Ballari,2023-11,5,0.6,0.6,0.2,11,4.0,3.672088524602494,8.4
Ballari,2023-12,4,0.25,0.25,0.0,12,2.0,3.7360139584070318,9.0
Ballari,2024-01,2,0.0,0.0,0.0,1,3.0,3.2500883139809322,4.9
Ballari,2024-02,3,0.0,0.6666666666666666,0.0,2,5.0,3.2641829010838235,5.0
Ballari,2024-03,5,0.4,0.2,0.0,3,4.0,3.530777197686914,7.2
Ballari,2024-04,4,0.25,0.25,0.0,4,1.0,3.2603628013515644,5.0
Ballari,2024-05,1,0.0,0.0,0.0,5,3.0,3.360955690625911,5.8
Ballari,2024-07,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,7,2.0,3.5369797554778675,7.3
Ballari,2024-08,2,0.0,0.0,0.0,8,1.0,3.6028099711523343,7.9
Ballari,2024-09,1,0.0,1.0,0.0,9,2.0,3.4700672919735296,6.7
Ballari,2024-10,2,0.5,0.5,0.0,10,2.0,3.947890415701957,10.8
Ballari,2024-11,2,0.5,0.5,0.0,11,4.0,3.941107295485519,10.7
Ballari,2024-12,4,0.0,0.75,0.25,12,6.0,3.891336026266889,10.3
Ballari,2025-01,6,0.5,0.3333333333333333,0.16666666666666666,1,4.0,3.590756523532188,7.8
Ballari,2025-03,4,0.5,0.25,0.0,3,2.0,3.468353401529452,6.7
Ballari,2025-05,2,0.0,0.0,0.5,5,3.0,3.281836367849688,5.1
Ballari,2025-06,3,1.0,0.3333333333333333,0.0,6,5.0,3.8030154221496724,9.5
Ballari,2025-07,5,0.2,0.6,0.2,7,3.0,3.6946691916721828,8.6
Ballari,2025-08,3,0.0,0.3333333333333333,0.0,8,3.0,3.531886567662286,7.3
Ballari,2025-09,3,0.3333333333333333,0.0,0.0,9,3.0,3.413432619528262,6.3
Ballari,2025-10,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,10,6.0,3.310523697557285,5.4
Ballari,2025-11,6,0.5,0.0,0.0,11,8.0,4.179712932989002,12.7
Ballari,2025-12,8,0.25,0.625,0.0,12,2.0,3.8172947350927564,9.7
Ballari,2026-01,2,0.0,0.5,0.0,1,1.0,3.1134280915131796,3.7
Ballari,2026-02,1,0.0,0.0,0.0,2,1.0,3.301774262111772,5.3
Ballari,2026-03,1,0.0,0.0,0.0,3,3.0,3.278427858875114,5.1
Ballari,2026-04,3,0.3333333333333333,0.3333333333333333,0.0,4,1.0,3.4492101159137145,6.6
Ballari,2026-05,1,0.0,0.0,0.0,5,,3.360955690625911,5.8
Belagavi,2022-01,2,0.0,0.5,0.0,1,3.0,3.1134280915131796,3.7
Belagavi,2022-02,3,0.6666666666666666,0.3333333333333333,0.0,2,2.0,3.4898074778844816,6.9
Belagavi,2022-03,2,0.0,1.0,0.0,3,6.0,3.2779274674882264,5.1
Belagavi,2022-04,6,0.5,0.5,0.16666666666666666,4,2.0,3.6345124930076294,8.1
Belagavi,2022-05,2,0.0,0.0,0.0,5,4.0,3.3448027508683147,5.7
Belagavi,2022-06,4,0.25,1.0,0.25,6,2.0,3.463926789317904,6.7
Belagavi,2022-07,2,0.5,0.5,0.0,7,1.0,3.6930261470894403,8.6
Belagavi,2022-08,1,1.0,1.0,0.0,8,3.0,3.968585034555446,10.9
Belagavi,2022-09,3,0.3333333333333333,0.0,0.3333333333333333,9,3.0,3.365043190204898,5.8
Belagavi,2022-10,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,10,1.0,3.2665630520391113,5.0
Belagavi,2022-11,1,0.0,0.0,0.0,11,8.0,3.929209885439058,10.6
Belagavi,2022-12,8,0.125,0.375,0.125,12,3.0,4.253109418375127,13.4
Belagavi,2023-01,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2.0,3.370791121063166,5.9
Belagavi,2023-02,2,0.0,0.5,0.0,2,2.0,3.2054387986999524,4.5
Belagavi,2023-03,2,0.0,0.0,0.0,3,2.0,3.2521660170599063,4.9
Belagavi,2023-04,2,0.0,0.0,0.0,4,3.0,3.3002412794042653,5.3
Belagavi,2023-05,3,0.0,0.6666666666666666,0.0,5,2.0,3.2829151982794262,5.1
Belagavi,2023-06,2,0.5,0.5,0.0,6,2.0,3.719391706250606,8.8
Belagavi,2023-07,2,0.0,0.5,0.5,7,9.0,3.7386833073839103,9.0
Belagavi,2023-08,9,0.2222222222222222,0.3333333333333333,0.0,8,5.0,4.591703934509933,16.2
Belagavi,2023-09,5,0.0,0.6,0.2,9,7.0,3.6439047466614287,8.2
Belagavi,2023-10,7,0.42857142857142855,0.2857142857142857,0.2857142857142857,10,2.0,3.557585913868065,7.5
Belagavi,2023-11,2,0.5,0.5,0.5,11,2.0,3.849888076695902,9.9
Belagavi,2023-12,2,0.5,0.5,0.0,12,3.0,3.9498012940652796,10.8
Belagavi,2024-01,3,0.0,0.6666666666666666,0.0,1,5.0,3.2077066188740155,4.5
Belagavi,2024-02,5,0.4,0.2,0.2,2,3.0,3.5859942695686247,7.7
Belagavi,2024-03,3,0.0,1.0,0.3333333333333333,3,3.0,3.2679816436210065,5.0
Belagavi,2024-04,3,0.0,0.3333333333333333,0.0,4,1.0,3.312815753841475,5.4
Belagavi,2024-05,1,0.0,1.0,0.0,5,3.0,3.349207771562196,5.7
Belagavi,2024-06,3,0.3333333333333333,0.6666666666666666,0.0,6,4.0,3.4454748846551593,6.5
Belagavi,2024-07,4,0.5,0.25,0.0,7,5.0,3.564758976383904,7.5
Belagavi,2024-08,5,0.0,0.2,0.2,8,3.0,3.6296742302441247,8.1
Belagavi,2024-09,3,0.3333333333333333,0.3333333333333333,0.0,9,6.0,3.3954675857281176,6.1
Belagavi,2024-10,6,0.3333333333333333,0.3333333333333333,0.0,10,1.0,3.6860796173691885,8.6
Belagavi,2024-11,1,1.0,1.0,0.0,11,3.0,3.65042628414443,8.3
Belagavi,2024-12,3,0.0,0.6666666666666666,0.0,12,4.0,3.829316791133033,9.8
Belagavi,2025-01,4,0.25,0.25,0.25,1,4.0,3.1581248350981794,4.1
Belagavi,2025-02,4,0.25,0.75,0.0,2,5.0,3.3205933591714882,5.5
Belagavi,2025-03,5,0.0,0.2,0.0,3,3.0,3.291617634992765,5.2
Belagavi,2025-04,3,0.0,0.3333333333333333,0.0,4,3.0,3.312815753841475,5.4
Belagavi,2025-05,3,0.0,1.0,0.0,5,1.0,3.276824130106312,5.1
Belagavi,2025-06,1,1.0,1.0,0.0,6,5.0,4.062956519675732,11.7
Belagavi,2025-07,5,0.4,0.6,0.2,7,1.0,3.7757652163939635,9.3
Belagavi,2025-08,1,0.0,0.0,1.0,8,1.0,4.074649131686353,11.8
Belagavi,2025-09,1,0.0,1.0,0.0,9,4.0,3.4700672919735296,6.7
Belagavi,2025-10,4,0.25,0.25,0.25,10,1.0,3.2981615750214375,5.3
Belagavi,2025-11,1,0.0,1.0,0.0,11,4.0,4.074392231612981,11.8
Belagavi,2025-12,4,0.25,0.25,0.25,12,7.0,3.610274029871235,7.9
Belagavi,2026-01,7,0.14285714285714285,0.42857142857142855,0.0,1,2.0,3.3460495958044816,5.7
Belagavi,2026-02,2,0.5,0.5,0.5,2,2.0,3.0407666274545657,3.1
Belagavi,2026-03,2,0.0,0.0,0.0,3,1.0,3.2521660170599063,4.9
Belagavi,2026-04,1,1.0,0.0,0.0,4,3.0,3.6626439173264846,8.4
Belagavi,2026-05,3,0.0,1.0,0.3333333333333333,5,,3.313512622947907,5.4
Bengaluru Rural,2022-01,4,0.5,0.5,0.0,1,3.0,3.4226794226129913,6.3
Bengaluru Rural,2022-02,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,2.0,3.3834734939898334,6.0
Bengaluru Rural,2022-03,2,0.0,0.5,0.0,3,2.0,3.2028218252439147,4.5
Bengaluru Rural,2022-04,2,0.0,0.5,0.0,4,6.0,3.253574212188504,4.9
Bengaluru Rural,2022-05,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,5,5.0,3.41552760244702,6.3
Bengaluru Rural,2022-06,5,0.2,0.4,0.0,6,4.0,3.597071038199354,7.8
Bengaluru Rural,2022-07,4,0.75,0.25,0.0,7,5.0,3.7402585033992137,9.0
Bengaluru Rural,2022-08,5,0.2,0.4,0.0,8,5.0,3.6461702228479003,8.2
Bengaluru Rural,2022-09,5,0.2,0.2,0.2,9,7.0,3.547460402660296,7.4
Bengaluru Rural,2022-10,7,0.14285714285714285,0.5714285714285714,0.14285714285714285,10,6.0,4.043270904935837,11.6
Bengaluru Rural,2022-11,6,0.16666666666666666,0.5,0.0,11,4.0,3.833089264721813,9.8
Bengaluru Rural,2022-12,4,0.0,0.5,0.0,12,5.0,3.9416062323152175,10.7
Bengaluru Rural,2023-01,5,0.2,0.4,0.0,1,1.0,3.2465665994769495,4.8
Bengaluru Rural,2023-02,1,0.0,0.0,0.0,2,7.0,3.301774262111772,5.3
Bengaluru Rural,2023-03,7,0.14285714285714285,0.42857142857142855,0.14285714285714285,3,3.0,3.5810953528922194,7.7
Bengaluru Rural,2023-04,3,0.0,1.0,0.3333333333333333,4,3.0,3.3452182361569833,5.7
Bengaluru Rural,2023-05,3,0.0,0.3333333333333333,0.3333333333333333,5,3.0,3.390718121742257,6.1
Bengaluru Rural,2023-06,3,0.3333333333333333,0.0,0.3333333333333333,6,2.0,3.510714314398919,7.1
Bengaluru Rural,2023-07,2,0.5,0.0,0.0,7,3.0,3.6795800612616354,8.5
Bengaluru Rural,2023-08,3,0.0,0.0,0.0,8,7.0,3.5395599634772874,7.3
Bengaluru Rural,2023-09,7,0.0,0.42857142857142855,0.0,9,5.0,3.7928150899031277,9.5
Bengaluru Rural,2023-10,5,0.2,0.4,0.0,10,6.0,3.805829142971299,9.6
Bengaluru Rural,2023-11,6,0.0,0.3333333333333333,0.16666666666666666,11,1.0,3.6792840249831955,8.5
Bengaluru Rural,2023-12,1,0.0,0.0,0.0,12,2.0,3.9146539784750467,10.5
Bengaluru Rural,2024-01,2,0.0,0.5,0.5,1,3.0,2.9798826136408136,2.6
Bengaluru Rural,2024-02,3,0.0,0.0,0.0,2,5.0,3.2805846283105136,5.1
Bengaluru Rural,2024-03,5,0.2,0.6,0.0,3,6.0,3.4957665163052725,6.9
Bengaluru Rural,2024-04,6,0.3333333333333333,0.6666666666666666,0.0,4,3.0,3.7700145403554983,9.3
Bengaluru Rural,2024-05,3,0.3333333333333333,1.0,0.3333333333333333,5,2.0,3.4368341590145066,6.5
Bengaluru Rural,2024-06,2,0.0,0.5,0.0,6,8.0,3.5652503185325632,7.5
Bengaluru Rural,2024-07,8,0.375,0.625,0.0,7,2.0,3.786939842620545,9.4
Bengaluru Rural,2024-08,2,0.5,0.5,0.0,8,2.0,3.674446370773824,8.5
Bengaluru Rural,2024-09,2,0.5,1.0,0.0,9,4.0,3.5205549673590624,7.2
Bengaluru Rural,2024-10,4,0.0,0.0,0.0,10,6.0,3.9071081272217305,10.4
Bengaluru Rural,2024-11,6,0.3333333333333333,0.6666666666666666,0.16666666666666666,11,5.0,3.8225700876803614,9.7
Bengaluru Rural,2024-12,5,0.6,0.2,0.0,12,2.0,3.6080043559361967,7.9
Bengaluru Rural,2025-01,2,0.5,0.5,0.0,1,2.0,3.359669506431637,5.8
Bengaluru Rural,2025-02,2,0.5,0.5,0.0,2,3.0,3.4435599720703958,6.5
Bengaluru Rural,2025-03,3,0.6666666666666666,0.0,0.0,3,2.0,3.4620172417334016,6.7
Bengaluru Rural,2025-04,2,0.0,0.0,0.0,4,3.0,3.3002412794042653,5.3
Bengaluru Rural,2025-05,3,0.0,0.3333333333333333,0.0,5,3.0,3.3361274464632205,5.6
Bengaluru Rural,2025-06,3,0.3333333333333333,0.6666666666666666,0.0,6,2.0,3.4454748846551593,6.5
Bengaluru Rural,2025-07,2,0.0,0.0,0.0,7,6.0,3.6315157826283775,8.1
Bengaluru Rural,2025-08,6,0.16666666666666666,0.8333333333333334,0.0,8,4.0,3.7093770315898036,8.8
Bengaluru Rural,2025-09,4,0.0,0.75,0.5,9,3.0,3.352820520704538,5.7
Bengaluru Rural,2025-10,3,0.0,0.3333333333333333,0.0,10,3.0,3.8285258034465057,9.8
Bengaluru Rural,2025-11,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,11,4.0,3.481876552250699,6.8
Bengaluru Rural,2025-12,4,0.25,0.75,0.0,12,7.0,3.9370505268312623,10.7
Bengaluru Rural,2026-01,7,0.14285714285714285,0.5714285714285714,0.14285714285714285,1,1.0,3.1508611223928704,4.0
Bengaluru Rural,2026-02,1,1.0,1.0,0.0,2,3.0,3.6405493302649705,8.2
Bengaluru Rural,2026-03,3,0.3333333333333333,0.6666666666666666,0.0,3,5.0,3.465516874806441,6.7
Bengaluru Rural,2026-04,5,0.8,1.0,0.0,4,4.0,3.813705743771272,9.6
Bengaluru Rural,2026-05,4,0.5,0.75,0.25,5,,3.5960682326319535,7.8
Bengaluru Urban,2022-01,8,0.0,0.625,0.125,1,7.0,5.792773251186288,26.4
Bengaluru Urban,2022-02,7,0.2857142857142857,0.42857142857142855,0.14285714285714285,2,6.0,4.126937284529681,12.3
Bengaluru Urban,2022-03,6,0.3333333333333333,0.5,0.3333333333333333,3,9.0,3.792026364649849,9.5
Bengaluru Urban,2022-04,9,0.0,0.4444444444444444,0.1111111111111111,4,14.0,11.118168213464168,71.4
Bengaluru Urban,2022-05,14,0.07142857142857142,0.5714285714285714,0.0,5,13.0,10.965791406692722,70.1
Bengaluru Urban,2022-06,13,0.38461538461538464,0.46153846153846156,0.07692307692307693,6,11.0,10.608209913858934,67.1
Bengaluru Urban,2022-07,11,0.2727272727272727,0.6363636363636364,0.18181818181818182,7,10.0,10.851187858514685,69.1
Bengaluru Urban,2022-08,10,0.0,0.4,0.1,8,10.0,10.110536448671514,62.9
Bengaluru Urban,2022-09,10,0.2,0.5,0.2,9,15.0,12.577452849665065,83.7
Bengaluru Urban,2022-10,15,0.06666666666666667,0.3333333333333333,0.26666666666666666,10,13.0,12.98809582476702,87.2
Bengaluru Urban,2022-11,13,0.23076923076923078,0.38461538461538464,0.07692307692307693,11,12.0,11.072123042791077,71.0
Bengaluru Urban,2022-12,12,0.08333333333333333,0.5,0.16666666666666666,12,16.0,12.957336653033078,86.9
Bengaluru Urban,2023-01,16,0.3125,0.5,0.125,1,6.0,7.809562720941333,43.4
Bengaluru Urban,2023-02,6,0.3333333333333333,0.5,0.0,2,17.0,4.025256370233268,11.4
Bengaluru Urban,2023-03,17,0.17647058823529413,0.5294117647058824,0.058823529411764705,3,12.0,9.624124227722529,58.7
Bengaluru Urban,2023-04,12,0.3333333333333333,0.4166666666666667,0.25,4,16.0,13.155703656701586,88.6
Bengaluru Urban,2023-05,16,0.25,0.5625,0.0625,5,7.0,9.398648270080654,56.8
Bengaluru Urban,2023-06,7,0.2857142857142857,0.5714285714285714,0.14285714285714285,6,13.0,4.89161581127273,18.7
Bengaluru Urban,2023-07,13,0.07692307692307693,0.46153846153846156,0.23076923076923078,7,13.0,12.7301870301088,85.0
Bengaluru Urban,2023-08,13,0.3076923076923077,0.3076923076923077,0.15384615384615385,8,11.0,11.442614419878039,74.1
Bengaluru Urban,2023-09,11,0.18181818181818182,0.45454545454545453,0.09090909090909091,9,11.0,11.225682878951229,72.3
Bengaluru Urban,2023-10,11,0.18181818181818182,0.36363636363636365,0.09090909090909091,10,16.0,13.266243653165839,89.5
Bengaluru Urban,2023-11,16,0.375,0.375,0.25,11,10.0,11.401194538368939,73.8
Bengaluru Urban,2023-12,10,0.3,0.5,0.3,12,10.0,10.77528962356914,68.5
Bengaluru Urban,2024-01,10,0.3,0.6,0.1,1,10.0,8.907327409341697,52.7
Bengaluru Urban,2024-02,10,0.4,0.5,0.1,2,10.0,8.385088285508782,48.3
Bengaluru Urban,2024-03,10,0.3,0.2,0.2,3,17.0,13.557089285714287,92.0
Bengaluru Urban,2024-04,17,0.35294117647058826,0.5882352941176471,0.29411764705882354,4,12.0,11.579038514632607,75.3
Bengaluru Urban,2024-05,12,0.08333333333333333,0.4166666666666667,0.16666666666666666,5,9.0,10.823667172457004,68.9
Bengaluru Urban,2024-06,9,0.2222222222222222,0.2222222222222222,0.0,6,7.0,5.067019805038728,20.2
Bengaluru Urban,2024-07,7,0.42857142857142855,0.7142857142857143,0.0,7,10.0,5.334481870093219,22.5
Bengaluru Urban,2024-08,10,0.4,0.4,0.1,8,10.0,9.661606017755034,59.1
Bengaluru Urban,2024-09,10,0.2,0.5,0.1,9,8.0,9.277064212895066,55.8
Bengaluru Urban,2024-10,8,0.375,0.5,0.375,10,14.0,9.761664019863565,59.9
Bengaluru Urban,2024-11,14,0.07142857142857142,0.21428571428571427,0.07142857142857142,11,12.0,11.40936334905516,73.8
Bengaluru Urban,2024-12,12,0.25,0.5,0.16666666666666666,12,9.0,10.758461526749386,68.3
Bengaluru Urban,2025-01,9,0.1111111111111111,0.2222222222222222,0.1111111111111111,1,9.0,7.6912258727251075,42.4
Bengaluru Urban,2025-02,9,0.2222222222222222,0.3333333333333333,0.1111111111111111,2,12.0,8.468481323746552,49.0
Bengaluru Urban,2025-03,12,0.3333333333333333,0.5833333333333334,0.25,3,8.0,9.672642889424486,59.2
Bengaluru Urban,2025-04,8,0.25,0.375,0.125,4,14.0,9.018555394115133,53.6
Bengaluru Urban,2025-05,14,0.42857142857142855,0.14285714285714285,0.07142857142857142,5,12.0,11.198211245001461,72.1
Bengaluru Urban,2025-06,12,0.08333333333333333,0.5,0.08333333333333333,6,7.0,9.30427298127237,56.0
Bengaluru Urban,2025-07,7,0.14285714285714285,0.42857142857142855,0.14285714285714285,7,12.0,4.518936801720219,15.6
Bengaluru Urban,2025-08,12,0.5,0.5,0.16666666666666666,8,11.0,10.840477458792499,69.0
Bengaluru Urban,2025-09,11,0.36363636363636365,0.6363636363636364,0.09090909090909091,9,15.0,12.723792832802848,85.0
Bengaluru Urban,2025-10,15,0.3333333333333333,0.26666666666666666,0.13333333333333333,10,17.0,14.50424588497802,100.0
Bengaluru Urban,2025-11,17,0.35294117647058826,0.47058823529411764,0.058823529411764705,11,11.0,10.806629297136148,68.7
Bengaluru Urban,2025-12,11,0.2727272727272727,0.45454545454545453,0.09090909090909091,12,11.0,10.7072641514123,67.9
Bengaluru Urban,2026-01,11,0.18181818181818182,0.5454545454545454,0.0,1,6.0,6.83714917027417,35.2
Bengaluru Urban,2026-02,6,0.16666666666666666,0.3333333333333333,0.0,2,8.0,3.4530995466907957,6.6
Bengaluru Urban,2026-03,8,0.25,0.375,0.125,3,16.0,9.460190186538611,57.4
Bengaluru Urban,2026-04,16,0.5,0.375,0.0625,4,10.0,10.173700869411807,63.4
Bengaluru Urban,2026-05,10,0.2,0.4,0.0,5,,7.695345566198505,42.4
Bidar,2022-01,3,0.3333333333333333,1.0,0.0,1,1.0,3.385764171133478,6.0
Bidar,2022-02,1,0.0,0.0,0.0,2,6.0,3.301774262111772,5.3
Bidar,2022-03,6,0.16666666666666666,0.3333333333333333,0.0,3,6.0,3.3505202717406006,5.7
Bidar,2022-04,6,0.0,0.5,0.16666666666666666,4,1.0,3.2327217291672143,4.7
Bidar,2022-05,1,0.0,1.0,0.0,5,4.0,3.349207771562196,5.7
Bidar,2022-06,4,0.5,0.75,0.0,6,7.0,3.759869533190248,9.2
Bidar,2022-07,7,0.42857142857142855,0.2857142857142857,0.14285714285714285,7,4.0,4.414048199906762,14.7
Bidar,2022-08,4,0.25,0.5,0.0,8,2.0,3.501303058103911,7.0
Bidar,2022-09,2,0.5,1.0,0.0,9,2.0,3.5205549673590624,7.2
Bidar,2022-10,2,1.0,0.5,0.0,10,5.0,3.6349367080805752,8.1
Bidar,2022-11,5,0.4,0.8,0.0,11,5.0,4.095225076837361,12.0
Bidar,2022-12,5,0.2,0.4,0.0,12,2.0,3.924776079681373,10.6
Bidar,2023-01,2,0.0,0.0,0.0,1,2.0,3.2500883139809322,4.9
Bidar,2023-02,2,0.0,0.5,0.0,2,2.0,3.2054387986999524,4.5
Bidar,2023-03,2,0.0,0.5,0.0,3,2.0,3.2028218252439147,4.5
Bidar,2023-04,2,0.5,0.0,0.5,4,2.0,3.118993586181509,3.8
Bidar,2023-05,2,0.5,0.0,0.0,5,3.0,3.6159191077658237,8.0
Bidar,2023-06,3,0.6666666666666666,0.3333333333333333,0.0,6,2.0,3.5487142747340505,7.4
Bidar,2023-07,2,0.0,0.5,0.0,7,4.0,3.6374047726768124,8.1
Bidar,2023-08,4,0.25,0.75,0.0,8,1.0,3.521560343354271,7.2
Bidar,2023-09,1,0.0,0.0,0.0,9,3.0,3.4985060707623292,7.0
Bidar,2023-10,3,0.3333333333333333,0.0,0.0,10,5.0,3.6636568761816517,8.4
Bidar,2023-11,5,0.4,0.4,0.0,11,5.0,3.860519108573533,10.0
Bidar,2023-12,5,0.2,0.2,0.0,12,8.0,3.8449563668284434,9.9
